Column1,after_arousal,before_arousal,after_valence,before_valence,weekend,sun,commute,occupants,length,flow,speed,sudden_events,steering,braking,ID
40,-1.50761E+14,6.76312E+14,3.39229E+14,7.91066E+14,0,-9.08791E+14,0,0,-2.52401E+14,1.03445E+14,2.66385E+14,-7.1286E+14,-1.79356E+14,-1.22806E+14,1
41,7.8947E+14,-5.84544E+14,-2.02577E+14,5.52127E+14,0,1.48375E+14,1,0,6.57598E+14,-1.3006E+14,-3.80556E+14,-3.97394E+14,-6.43576E+14,9.63019E+14,1
42,-3.84591E+14,2.92573E+14,6.34854E+14,-4.03629E+14,0,1.27977E+14,1,0,-4.42491E+14,4.74812E+14,-7.64376E+12,-4.35902E+14,-4.52877E+14,1.98286E+14,1
43,2.37779E+12,5.66672E+14,1.04873E+14,6.71597E+14,0,-4.62183E+14,0,0,5.83355E+14,-2.89011E+14,3.08405E+14,1.07032E+14,-3.05809E+14,3.55984E+14,1
44,-3.09004E+14,-2.61288E+14,1.61854E+14,5.52127E+14,1,-9.08791E+14,0,0,2.27703E+14,-4.30619E+14,6.00728E+14,-7.47445E+14,-5.03905E+14,-2.98165E+14,1
45,4.83193E+14,-9.11656E+14,9.30478E+14,1.93719E+14,0,-9.08791E+14,1,0,-6.02519E+14,6.75465E+14,2.40879E+14,-2.52414E+14,-5.93273E+14,-1.87666E+14,1
46,4.83193E+14,9.50411E+14,-3.70271E+14,-7.02303E+14,0,-1.91029E+14,1,0,-8.48944E+14,4.41029E+13,-3.04533E+14,-5.97396E+14,-4.66819E+13,5.61366E+14,1
47,3.30055E+14,1.82934E+14,-2.52021E+13,7.42491E+13,0,-9.08791E+14,1,0,-6.04918E+14,7.22394E+14,4.81164E+13,-3.24904E+14,-5.01625E+14,1.54895E+14,1
48,-1.80407E+14,6.21492E+14,-1.92896E+14,-4.03629E+14,0,-6.29661E+14,1,0,2.45858E+14,-2.5093E+12,-4.73465E+14,-2.51788E+14,-3.93285E+14,4.92043E+14,1
49,3.30055E+14,1.82934E+14,-1.55212E+14,-1.6469E+14,0,-4.50221E+14,0,0,1.67175E+14,-3.45785E+14,-2.1709E+14,8.30803E+14,-9.33706E+14,-1.90558E+14,1
50,-2.72682E+14,-2.17432E+14,-3.70271E+14,-1.04955E+14,0,-1.11277E+14,1,0,1.62538E+14,-1.83085E+14,-4.30042E+14,-6.88504E+14,-1.06501E+14,5.7131E+14,1
51,2.27963E+14,-3.10445E+13,-1.43452E+14,-1.77753E+14,0,1.29235E+14,1,0,-6.45573E+14,7.39565E+14,6.22225E+14,1.92641E+14,-5.51579E+14,-8.69158E+14,1
52,7.8947E+14,1.28114E+14,-7.46462E+14,-1.77753E+14,0,-1.11277E+14,1,0,-4.49525E+14,6.01758E+14,-3.06737E+14,-4.08274E+14,-3.02711E+14,6.12135E+14,1
53,6.36332E+14,-5.29724E+14,-1.78927E+14,-1.04955E+14,0,-9.08791E+14,1,0,-7.65074E+14,9.19269E+14,1.60105E+14,-8.28275E+14,-5.17662E+14,-5.58224E+14,1
54,-2.06911E+14,-2.55806E+14,-1.6119E+14,2.53453E+14,1,-9.08791E+14,0,1,2.20077E+14,-3.31567E+14,2.58152E+13,1.64801E+14,-8.51938E+14,-1.01462E+14,1
